origin;destination;airline;departure;arrival;price;time
FEN-Brasil;LIS-Portugal;AirCanada;14/04/2022 02:00:00 (-09:00);15/04/2022 00:00:00 (+12:00);2521.0;1.0
FEN-Brasil;LIS-Portugal;Ethiopian Airlines;10/04/2022 19:00:00 (+06:00);10/04/2022 22:00:00 (+07:00);2585.0;2.0
FEN-Brasil;LIS-Portugal;American Airlines;24/04/2022 00:00:00 (-03:00);24/04/2022 16:00:00 (+04:00);3100.0;9.0
FEN-Brasil;LIS-Portugal;AirFrance;01/04/2022 19:00:00 (+03:00);02/04/2022 10:00:00 (+08:00);3305.0;10.0
FEN-Brasil;LIS-Portugal;LATAM Airlines;17/04/2022 03:00:00 (-09:00);18/04/2022 07:00:00 (+08:00);4924.0;11.0
FEN-Brasil;LIS-Portugal;Qatar Airways;30/04/2022 12:00:00 (+01:00);01/05/2022 06:00:00 (+06:00);3753.0;13.0
FEN-Brasil;LIS-Portugal;United Airlines;13/04/2022 18:00:00 (+03:00);14/04/2022 18:00:00 (+12:00);3317.0;15.0
FEN-Brasil;LIS-Portugal;Lufthansa;30/04/2022 02:00:00 (+12:00);30/04/2022 01:00:00 (-05:00);2464.0;16.0
FEN-Brasil;LIS-Portugal;Emirates;01/04/2022 12:00:00 (-07:00);03/04/2022 00:00:00 (+12:00);4105.0;17.0
FEN-Brasil;LIS-Portugal;Gol Airlines;21/04/2022 08:00:00 (+11:00);21/04/2022 09:00:00 (-09:00);2242.0;21.0
FEN-Brasil;MEL-Austrália;Lufthansa;03/04/2022 03:00:00 (-06:00);03/04/2022 18:00:00 (+08:00);4733.0;1.0
FEN-Brasil;MEL-Austrália;Qatar Airways;09/04/2022 00:00:00 (-08:00);09/04/2022 19:00:00 (+08:00);4455.0;3.0
FEN-Brasil;MEL-Austrália;LATAM Airlines;07/04/2022 02:00:00 (+02:00);06/04/2022 21:00:00 (-06:00);4944.0;3.0
FEN-Brasil;MEL-Austrália;Gol Airlines;21/04/2022 16:00:00 (+04:00);22/04/2022 05:00:00 (+11:00);2659.0;6.0
FEN-Brasil;MEL-Austrália;AirFrance;06/04/2022 00:00:00 (+11:00);06/04/2022 02:00:00 (+07:00);3859.0;6.0
FEN-Brasil;MEL-Austrália;AirCanada;13/04/2022 15:00:00 (+10:00);13/04/2022 04:00:00 (-12:00);4805.0;11.0
FEN-Brasil;MEL-Austrália;Ethiopian Airlines;01/04/2022 13:00:00 (+07:00);02/04/2022 00:00:00 (+06:00);3201.0;12.0
FEN-Brasil;MEL-Austrália;United Airlines;17/04/2022 13:00:00 (+12:00);17/04/2022 10:00:00 (-08:00);3950.0;17.0
FEN-Brasil;MEL-Austrália;American Airlines;28/04/2022 06:00:00 (-10:00);29/04/2022 03:00:00 (-07:00);2341.0;18.0
FEN-Brasil;MEL-Austrália;Emirates;23/04/2022 18:00:00 (-11:00);25/04/2022 09:00:00 (+09:00);4191.0;19.0
FEN-Brasil;YYC-Canada;Qatar Airways;01/04/2022 07:00:00 (-01:00);01/04/2022 09:00:00 (Z);4515.0;1.0
FEN-Brasil;YYC-Canada;Ethiopian Airlines;18/04/2022 12:00:00 (+12:00);18/04/2022 15:00:00 (+12:00);3213.0;3.0
FEN-Brasil;YYC-Canada;American Airlines;07/04/2022 06:00:00 (-08:00);07/04/2022 05:00:00 (-12:00);4828.0;3.0
FEN-Brasil;YYC-Canada;United Airlines;10/04/2022 02:00:00 (-11:00);11/04/2022 04:00:00 (+10:00);4550.0;5.0
FEN-Brasil;YYC-Canada;Gol Airlines;11/04/2022 06:00:00 (-11:00);12/04/2022 00:00:00 (Z);2286.0;7.0
FEN-Brasil;YYC-Canada;Emirates;20/04/2022 20:00:00 (+03:00);21/04/2022 11:00:00 (+10:00);3564.0;8.0
FEN-Brasil;YYC-Canada;Lufthansa;07/04/2022 08:00:00 (+07:00);07/04/2022 10:00:00 (Z);4675.0;9.0
FEN-Brasil;YYC-Canada;AirCanada;19/04/2022 10:00:00 (+02:00);20/04/2022 03:00:00 (+06:00);4008.0;13.0
FEN-Brasil;YYC-Canada;LATAM Airlines;01/04/2022 13:00:00 (-02:00);02/04/2022 14:00:00 (+06:00);2073.0;17.0
FEN-Brasil;YYC-Canada;AirFrance;29/04/2022 10:00:00 (+06:00);30/04/2022 07:00:00 (+10:00);2739.0;17.0
GRU-Brasil;FEN-Brasil;Ethiopian Airlines;02/04/2022 12:00:00 (-07:00);02/04/2022 12:00:00 (-11:00);3698.0;4.0
GRU-Brasil;FEN-Brasil;United Airlines;11/04/2022 00:00:00 (+12:00);10/04/2022 14:00:00 (-05:00);3262.0;7.0
GRU-Brasil;FEN-Brasil;Emirates;16/04/2022 00:00:00 (-03:00);16/04/2022 22:00:00 (+12:00);3462.0;7.0
GRU-Brasil;FEN-Brasil;AirCanada;25/04/2022 17:00:00 (+07:00);25/04/2022 18:00:00 (-03:00);3793.0;11.0
GRU-Brasil;FEN-Brasil;LATAM Airlines;26/04/2022 22:00:00 (-09:00);28/04/2022 01:00:00 (+05:00);3226.0;13.0
GRU-Brasil;FEN-Brasil;American Airlines;02/04/2022 15:00:00 (-05:00);03/04/2022 14:00:00 (+05:00);3387.0;13.0
GRU-Brasil;FEN-Brasil;Qatar Airways;23/04/2022 04:00:00 (+12:00);23/04/2022 04:00:00 (-03:00);4238.0;15.0
GRU-Brasil;FEN-Brasil;Lufthansa;08/04/2022 18:00:00 (-04:00);09/04/2022 17:00:00 (-01:00);2299.0;20.0
GRU-Brasil;FEN-Brasil;Gol Airlines;18/04/2022 19:00:00 (+05:00);19/04/2022 00:00:00 (-10:00);4946.0;20.0
GRU-Brasil;FEN-Brasil;AirFrance;10/04/2022 20:00:00 (+03:00);11/04/2022 02:00:00 (-12:00);2913.0;21.0
GRU-Brasil;KIN-Jamaica;Gol Airlines;02/04/2022 01:00:00 (+04:00);01/04/2022 23:00:00 (+01:00);2190.0;1.0
GRU-Brasil;KIN-Jamaica;LATAM Airlines;09/04/2022 07:00:00 (-12:00);09/04/2022 18:00:00 (-05:00);2006.0;4.0
GRU-Brasil;KIN-Jamaica;AirFrance;07/04/2022 16:00:00 (-05:00);07/04/2022 19:00:00 (-08:00);3871.0;6.0
GRU-Brasil;KIN-Jamaica;United Airlines;04/04/2022 00:00:00 (-12:00);05/04/2022 02:00:00 (+08:00);4769.0;6.0
GRU-Brasil;KIN-Jamaica;Ethiopian Airlines;12/04/2022 06:00:00 (-07:00);12/04/2022 20:00:00 (-02:00);2869.0;9.0
GRU-Brasil;KIN-Jamaica;Lufthansa;22/04/2022 04:00:00 (+08:00);22/04/2022 15:00:00 (+03:00);3033.0;16.0
